gene,sexA,sexB,rank,type,statusA,statusB,lePathA,lePathB,exclu,pval,ncols,leA,leB,typePair
COL4A5,3_49,3_55,2,alternative_end,no,can,0,19,TRUE,7.5e-07,24,30,24,UNREL
COL4A5,3_49,3_56,2,alternative_end,no,can,0,19,TRUE,0.00084,12,30,17,UNREL
COL4A5,3_49,3_57,2,alternative_end,no,can,0,19,TRUE,4e-08,30,30,62,UNREL
COL4A5,3_49,3_60,2,alternative_end,no,can,0,19,TRUE,2.2e-08,30,30,45,UNREL
COL4A5,3_49,3_63,2,alternative_end,no,can,0,19,TRUE,1.3e-05,24,30,24,UNREL
COL4A5,3_49,3_65,2,alternative_end,no,can,0,19,TRUE,1e-06,24,30,24,UNREL
COL4A5,3_49,3_66,2,alternative_end,no,can,0,19,TRUE,5.7e-08,27,30,43,UNREL
COL4A5,3_49,3_67,2,alternative_end,no,can,0,19,TRUE,1.6e-06,30,30,33,UNREL
COL4A5,3_49,3_8,1,deletion,no,can,0,22,FALSE,1.3e-05,18,30,18,UNREL
COL4A5,3_49,6_0,1,deletion,no,can,0,22,FALSE,6.9e-07,15,30,27,UNREL
COL4A5,3_49,6_5,2,alternative_end,no,can,0,19,TRUE,3e-06,23,30,23,UNREL
COL4A5,3_5,3_50,1,deletion,can,no,22,0,FALSE,2.8e-05,21,21,47,UNREL
COL4A5,3_5,3_52,1,deletion,can,no,22,0,FALSE,0.00015,21,21,27,UNREL
COL4A5,3_5,3_52,2,alternative_end,no,can,0,19,TRUE,0.00015,21,21,27,UNREL
COL4A5,3_5,3_53,1,deletion,can,no,22,0,FALSE,0.00017,15,21,15,UNREL
COL4A5,3_5,3_53,2,alternative_end,no,can,0,19,TRUE,0.00017,15,21,15,UNREL
COL4A5,3_5,3_55,1,deletion,can,no,22,0,FALSE,1.1e-05,21,21,24,UNREL
COL4A5,3_5,3_55,2,alternative_end,no,can,0,19,TRUE,1.1e-05,21,21,24,UNREL
COL4A5,3_5,3_56,1,deletion,can,no,22,0,FALSE,0.00015,17,21,17,UNREL
COL4A5,3_5,3_56,2,alternative_end,no,can,0,19,TRUE,0.00015,17,21,17,UNREL
COL4A5,3_5,3_57,1,deletion,can,no,22,0,FALSE,6.5e-05,21,21,62,UNREL
COL4A5,3_5,3_57,2,alternative_end,no,can,0,19,TRUE,6.5e-05,21,21,62,UNREL
COL4A5,3_5,3_60,1,deletion,can,no,22,0,FALSE,0.00011,21,21,45,UNREL
COL4A5,3_5,3_60,2,alternative_end,no,can,0,19,TRUE,0.00011,21,21,45,UNREL
COL4A5,3_5,3_63,1,deletion,can,no,22,0,FALSE,0.00028,15,21,24,UNREL
COL4A5,3_5,3_63,2,alternative_end,no,can,0,19,TRUE,0.00028,15,21,24,UNREL
COL4A5,3_5,3_65,1,deletion,can,no,22,0,FALSE,0.00046,21,21,24,UNREL
COL4A5,3_5,3_65,2,alternative_end,no,can,0,19,TRUE,0.00046,21,21,24,UNREL
COL4A5,3_5,3_66,1,deletion,can,no,22,0,FALSE,0.00015,21,21,43,UNREL
COL4A5,3_5,3_66,2,alternative_end,no,can,0,19,TRUE,0.00015,21,21,43,UNREL
COL4A5,3_5,3_67,1,deletion,can,no,22,0,FALSE,0.00024,21,21,33,UNREL
COL4A5,3_5,3_67,2,alternative_end,no,can,0,19,TRUE,0.00024,21,21,33,UNREL
COL4A5,3_5,3_8,1,deletion,can,can,22,22,FALSE,2.7e-05,15,21,18,No
COL4A5,3_5,3_9,1,deletion,can,can,22,22,FALSE,0.00062,9,21,9,No
COL4A5,3_5,6_0,1,deletion,can,can,22,22,FALSE,0.00011,15,21,27,No
COL4A5,3_5,6_5,1,deletion,can,no,22,0,FALSE,8.5e-05,21,21,23,UNREL
COL4A5,3_5,6_5,2,alternative_end,no,can,0,19,TRUE,8.5e-05,21,21,23,UNREL
COL4A5,3_50,3_52,2,alternative_end,anc,can,0,19,TRUE,3.3e-08,27,47,27,REL
COL4A5,3_50,3_53,2,alternative_end,anc,can,0,19,TRUE,4.9e-05,15,47,15,REL
COL4A5,3_50,3_55,2,alternative_end,anc,can,0,19,TRUE,1.2e-07,24,47,24,REL
COL4A5,3_50,3_56,2,alternative_end,anc,can,0,19,TRUE,7e-04,17,47,17,REL
COL4A5,3_50,3_57,2,alternative_end,anc,can,0,19,TRUE,9e-09,47,47,62,REL
COL4A5,3_50,3_60,2,alternative_end,anc,can,0,19,TRUE,2.3e-09,36,47,45,REL
COL4A5,3_50,3_63,2,alternative_end,anc,can,0,19,TRUE,7.5e-06,24,47,24,REL
COL4A5,3_50,3_65,2,alternative_end,anc,can,0,19,TRUE,2.3e-06,24,47,24,REL
COL4A5,3_50,3_66,2,alternative_end,anc,can,0,19,TRUE,1.2e-08,33,47,43,REL
COL4A5,3_50,3_67,2,alternative_end,anc,can,0,19,TRUE,1.1e-07,33,47,33,REL
COL4A5,3_50,3_8,1,deletion,no,can,0,22,FALSE,2.7e-05,18,47,18,UNREL
COL4A5,3_50,6_0,1,deletion,no,can,0,22,FALSE,6.6e-05,27,47,27,UNREL
COL4A5,3_50,6_5,2,alternative_end,anc,can,0,19,TRUE,7.6e-07,23,47,23,REL
COL4A5,3_52,3_53,2,alternative_end,can,can,19,19,TRUE,8.9e-06,15,27,15,No
COL4A5,3_52,3_55,2,alternative_end,can,can,19,19,TRUE,6.8e-06,24,27,24,No
COL4A5,3_52,3_56,2,alternative_end,can,can,19,19,TRUE,1.8e-05,17,27,17,No
COL4A5,3_52,3_57,2,alternative_end,can,can,19,19,TRUE,2.6e-08,27,27,62,No
COL4A5,3_52,3_60,2,alternative_end,can,can,19,19,TRUE,1.6e-08,27,27,45,No
COL4A5,3_52,3_63,2,alternative_end,can,can,19,19,TRUE,8.8e-07,24,27,24,No
COL4A5,3_52,3_65,2,alternative_end,can,can,19,19,TRUE,1.4e-06,24,27,24,No
COL4A5,3_52,3_66,2,alternative_end,can,can,19,19,TRUE,3.5e-09,27,27,43,No
COL4A5,3_52,3_67,2,alternative_end,can,can,19,19,TRUE,4.4e-07,27,27,33,No
COL4A5,3_52,3_8,2,alternative_end,can,no,19,0,TRUE,2.6e-05,18,27,18,UNREL
COL4A5,3_52,3_8,1,deletion,no,can,0,22,FALSE,2.6e-05,18,27,18,UNREL
COL4A5,3_52,6_0,2,alternative_end,can,no,19,0,TRUE,6.5e-07,27,27,27,UNREL
COL4A5,3_52,6_0,1,deletion,no,can,0,22,FALSE,6.5e-07,27,27,27,UNREL
COL4A5,3_52,6_5,2,alternative_end,can,can,19,19,TRUE,1.2e-07,23,27,23,No
COL4A5,3_53,3_55,2,alternative_end,can,can,19,19,TRUE,2.8e-05,15,15,24,No
COL4A5,3_53,3_56,2,alternative_end,can,can,19,19,TRUE,2e-04,12,15,17,No
COL4A5,3_53,3_57,2,alternative_end,can,can,19,19,TRUE,1e-05,15,15,62,No
COL4A5,3_53,3_60,2,alternative_end,can,can,19,19,TRUE,7.6e-06,15,15,45,No
COL4A5,3_53,3_63,2,alternative_end,can,can,19,19,TRUE,1.9e-05,15,15,24,No
COL4A5,3_53,3_65,2,alternative_end,can,can,19,19,TRUE,3.6e-05,15,15,24,No
COL4A5,3_53,3_66,2,alternative_end,can,can,19,19,TRUE,1.1e-05,15,15,43,No
COL4A5,3_53,3_67,2,alternative_end,can,can,19,19,TRUE,3.6e-05,15,15,33,No
COL4A5,3_53,3_8,2,alternative_end,can,no,19,0,TRUE,7.6e-05,15,15,18,UNREL
COL4A5,3_53,3_8,1,deletion,no,can,0,22,FALSE,7.6e-05,15,15,18,UNREL
COL4A5,3_53,6_0,2,alternative_end,can,no,19,0,TRUE,1.9e-05,15,15,27,UNREL
COL4A5,3_53,6_0,1,deletion,no,can,0,22,FALSE,1.9e-05,15,15,27,UNREL
COL4A5,3_53,6_5,2,alternative_end,can,can,19,19,TRUE,2.5e-05,15,15,23,No
COL4A5,3_55,3_56,2,alternative_end,can,can,19,19,TRUE,0.00026,17,24,17,No
COL4A5,3_55,3_57,2,alternative_end,can,can,19,19,TRUE,2.5e-06,24,24,62,No
COL4A5,3_55,3_60,2,alternative_end,can,can,19,19,TRUE,3.1e-07,24,24,45,No
COL4A5,3_55,3_63,2,alternative_end,can,can,19,19,TRUE,8.1e-05,24,24,24,No
COL4A5,3_55,3_65,2,alternative_end,can,can,19,19,TRUE,1.4e-05,18,24,24,No
COL4A5,3_55,3_66,2,alternative_end,can,can,19,19,TRUE,2.8e-07,24,24,43,No
COL4A5,3_55,3_67,2,alternative_end,can,can,19,19,TRUE,1.4e-05,24,24,33,No
COL4A5,3_55,3_8,2,alternative_end,can,no,19,0,TRUE,6.9e-05,18,24,18,UNREL
COL4A5,3_55,3_8,1,deletion,no,can,0,22,FALSE,6.9e-05,18,24,18,UNREL
COL4A5,3_55,6_0,2,alternative_end,can,no,19,0,TRUE,8.8e-05,15,24,27,UNREL
COL4A5,3_55,6_0,1,deletion,no,can,0,22,FALSE,8.8e-05,15,24,27,UNREL
COL4A5,3_55,6_5,2,alternative_end,can,can,19,19,TRUE,1.1e-06,23,24,23,No
COL4A5,3_56,3_57,2,alternative_end,can,can,19,19,TRUE,0.00022,17,17,62,No
COL4A5,3_56,3_60,2,alternative_end,can,can,19,19,TRUE,0.00015,17,17,45,No
COL4A5,3_56,3_63,2,alternative_end,can,can,19,19,TRUE,0.00073,12,17,24,No
COL4A5,3_56,3_66,2,alternative_end,can,can,19,19,TRUE,5e-05,17,17,43,No
COL4A5,3_56,3_67,2,alternative_end,can,can,19,19,TRUE,5e-04,17,17,33,No
COL4A5,3_56,3_8,2,alternative_end,can,no,19,0,TRUE,0.00082,15,17,18,UNREL
COL4A5,3_56,3_8,1,deletion,no,can,0,22,FALSE,0.00082,15,17,18,UNREL
COL4A5,3_56,3_9,2,alternative_end,can,no,19,0,TRUE,0.00054,9,17,9,UNREL
COL4A5,3_56,3_9,1,deletion,no,can,0,22,FALSE,0.00054,9,17,9,UNREL
COL4A5,3_56,6_0,2,alternative_end,can,no,19,0,TRUE,0.00031,17,17,27,UNREL
COL4A5,3_56,6_0,1,deletion,no,can,0,22,FALSE,0.00031,17,17,27,UNREL
COL4A5,3_56,6_5,2,alternative_end,can,can,19,19,TRUE,0.00051,11,17,23,No
COL4A5,3_57,3_60,2,alternative_end,can,can,19,19,TRUE,3.1e-09,45,62,45,No
COL4A5,3_57,3_63,2,alternative_end,can,can,19,19,TRUE,1.7e-06,24,62,24,No
COL4A5,3_57,3_65,2,alternative_end,can,can,19,19,TRUE,3.7e-06,24,62,24,No
COL4A5,3_57,3_66,2,alternative_end,can,can,19,19,TRUE,2.2e-08,30,62,43,No
COL4A5,3_57,3_67,2,alternative_end,can,can,19,19,TRUE,6.1e-07,33,62,33,No
COL4A5,3_57,3_8,2,alternative_end,can,no,19,0,TRUE,5.5e-06,18,62,18,UNREL
COL4A5,3_57,3_8,1,deletion,no,can,0,22,FALSE,5.5e-06,18,62,18,UNREL
COL4A5,3_57,6_0,2,alternative_end,can,no,19,0,TRUE,2.2e-06,27,62,27,UNREL
COL4A5,3_57,6_0,1,deletion,no,can,0,22,FALSE,2.2e-06,27,62,27,UNREL
COL4A5,3_57,6_5,2,alternative_end,can,can,19,19,TRUE,2.2e-06,23,62,23,No
COL4A5,3_60,3_63,2,alternative_end,can,can,19,19,TRUE,3.4e-06,24,45,24,No
COL4A5,3_60,3_65,2,alternative_end,can,can,19,19,TRUE,2.9e-06,24,45,24,No
COL4A5,3_60,3_66,2,alternative_end,can,can,19,19,TRUE,4.4e-12,39,45,43,No
COL4A5,3_60,3_67,2,alternative_end,can,can,19,19,TRUE,2.5e-07,30,45,33,No
COL4A5,3_60,3_8,2,alternative_end,can,no,19,0,TRUE,8.3e-06,18,45,18,UNREL
COL4A5,3_60,3_8,1,deletion,no,can,0,22,FALSE,8.3e-06,18,45,18,UNREL
COL4A5,3_60,6_0,2,alternative_end,can,no,19,0,TRUE,9.1e-06,27,45,27,UNREL
COL4A5,3_60,6_0,1,deletion,no,can,0,22,FALSE,9.1e-06,27,45,27,UNREL
COL4A5,3_60,6_5,2,alternative_end,can,can,19,19,TRUE,3.2e-07,23,45,23,No
COL4A5,3_63,3_65,2,alternative_end,can,can,19,19,TRUE,2.1e-06,21,24,24,No
COL4A5,3_63,3_66,2,alternative_end,can,can,19,19,TRUE,2e-07,24,24,43,No
COL4A5,3_63,3_67,2,alternative_end,can,can,19,19,TRUE,5.3e-06,24,24,33,No
COL4A5,3_63,3_8,2,alternative_end,can,no,19,0,TRUE,6.5e-05,18,24,18,UNREL
COL4A5,3_63,3_8,1,deletion,no,can,0,22,FALSE,6.5e-05,18,24,18,UNREL
COL4A5,3_63,3_9,2,alternative_end,can,no,19,0,TRUE,0.00052,9,24,9,UNREL
COL4A5,3_63,3_9,1,deletion,no,can,0,22,FALSE,0.00052,9,24,9,UNREL
COL4A5,3_63,6_0,2,alternative_end,can,no,19,0,TRUE,5.7e-07,24,24,27,UNREL
COL4A5,3_63,6_0,1,deletion,no,can,0,22,FALSE,5.7e-07,24,24,27,UNREL
COL4A5,3_63,6_5,2,alternative_end,can,can,19,19,TRUE,3.8e-07,23,24,23,No
COL4A5,3_65,3_66,2,alternative_end,can,can,19,19,TRUE,2.6e-07,24,24,43,No
COL4A5,3_65,3_67,2,alternative_end,can,can,19,19,TRUE,3.4e-05,24,24,33,No
COL4A5,3_65,3_8,2,alternative_end,can,no,19,0,TRUE,5.6e-05,18,24,18,UNREL
COL4A5,3_65,3_8,1,deletion,no,can,0,22,FALSE,5.6e-05,18,24,18,UNREL
COL4A5,3_65,6_0,2,alternative_end,can,no,19,0,TRUE,3.4e-05,24,24,27,UNREL
COL4A5,3_65,6_0,1,deletion,no,can,0,22,FALSE,3.4e-05,24,24,27,UNREL
COL4A5,3_65,6_5,2,alternative_end,can,can,19,19,TRUE,1.8e-06,23,24,23,No
COL4A5,3_66,3_67,2,alternative_end,can,can,19,19,TRUE,6.8e-06,33,43,33,No
COL4A5,3_66,3_8,2,alternative_end,can,no,19,0,TRUE,2.8e-05,18,43,18,UNREL
COL4A5,3_66,3_8,1,deletion,no,can,0,22,FALSE,2.8e-05,18,43,18,UNREL
COL4A5,3_66,6_0,2,alternative_end,can,no,19,0,TRUE,5.8e-06,27,43,27,UNREL
COL4A5,3_66,6_0,1,deletion,no,can,0,22,FALSE,5.8e-06,27,43,27,UNREL
COL4A5,3_66,6_5,2,alternative_end,can,can,19,19,TRUE,1.4e-06,20,43,23,No
COL4A5,3_67,3_8,2,alternative_end,can,no,19,0,TRUE,0.00014,18,33,18,UNREL
COL4A5,3_67,3_8,1,deletion,no,can,0,22,FALSE,0.00014,18,33,18,UNREL
COL4A5,3_67,6_0,2,alternative_end,can,no,19,0,TRUE,0.00016,27,33,27,UNREL
COL4A5,3_67,6_0,1,deletion,no,can,0,22,FALSE,0.00016,27,33,27,UNREL
COL4A5,3_67,6_5,2,alternative_end,can,can,19,19,TRUE,2.7e-06,23,33,23,No
COL4A5,3_8,6_0,1,deletion,can,can,22,22,FALSE,6.6e-05,15,18,27,No
COL4A5,3_8,6_5,1,deletion,can,no,22,0,FALSE,3.1e-05,18,18,23,UNREL
COL4A5,3_8,6_5,2,alternative_end,no,can,0,19,TRUE,3.1e-05,18,18,23,UNREL
COL4A5,6_0,6_5,1,deletion,can,no,22,0,FALSE,1.1e-05,20,27,23,UNREL
COL4A5,6_0,6_5,2,alternative_end,no,can,0,19,TRUE,1.1e-05,20,27,23,UNREL
COL4A5,7_0,8_0,2,alternative_end,can,can,19,19,TRUE,2.4e-08,44,59,57,No
COL4A6,3_1,3_34,3,deletion,no,can,0,1,FALSE,9.3e-05,24,45,24,UNREL
COL4A6,3_1,3_40,1,deletion,no,can,0,1,FALSE,1e-06,31,45,33,UNREL
COL4A6,3_10,3_40,1,deletion,no,can,0,1,FALSE,0.00026,20,20,33,UNREL
COL4A6,3_13,3_34,3,deletion,no,can,0,1,FALSE,2e-05,24,36,24,UNREL
COL4A6,3_13,3_40,1,deletion,no,can,0,1,FALSE,5.7e-06,30,36,33,UNREL
COL4A6,3_14,3_34,3,deletion,no,can,0,1,FALSE,0.00017,24,50,24,UNREL
COL4A6,3_14,3_40,1,deletion,no,can,0,1,FALSE,2.3e-05,30,50,33,UNREL
COL4A6,3_15,3_34,3,deletion,no,can,0,1,FALSE,4.9e-05,21,35,24,UNREL
COL4A6,3_15,3_40,1,deletion,no,can,0,1,FALSE,7.5e-07,27,35,33,UNREL
COL4A6,3_16,3_34,3,deletion,no,can,0,1,FALSE,3.3e-06,24,53,24,UNREL
COL4A6,3_16,3_40,1,deletion,no,can,0,1,FALSE,2.6e-06,33,53,33,UNREL
COL4A6,3_17,3_34,3,deletion,no,can,0,1,FALSE,0.00039,24,60,24,UNREL
COL4A6,3_17,3_40,1,deletion,no,can,0,1,FALSE,4.6e-07,26,60,33,UNREL
COL4A6,3_2,3_34,3,deletion,no,can,0,1,FALSE,0.00088,14,15,24,UNREL
COL4A6,3_20,3_34,3,deletion,no,can,0,1,FALSE,7.7e-05,24,41,24,UNREL
COL4A6,3_20,3_40,1,deletion,no,can,0,1,FALSE,6.7e-06,27,41,33,UNREL
COL4A6,3_21,3_40,1,deletion,no,can,0,1,FALSE,0.00049,24,24,33,UNREL
COL4A6,3_22,3_34,3,deletion,no,can,0,1,FALSE,6.8e-05,24,36,24,UNREL
COL4A6,3_22,3_40,1,deletion,no,can,0,1,FALSE,2.4e-05,33,36,33,UNREL
COL4A6,3_23,3_34,3,deletion,no,can,0,1,FALSE,4.7e-06,24,74,24,UNREL
COL4A6,3_23,3_40,1,deletion,no,can,0,1,FALSE,1.1e-07,33,74,33,UNREL
COL4A6,3_24,3_34,3,deletion,no,can,0,1,FALSE,0.00059,24,54,24,UNREL
COL4A6,3_24,3_40,1,deletion,no,can,0,1,FALSE,5.2e-07,33,54,33,UNREL
COL4A6,3_25,3_34,3,deletion,no,can,0,1,FALSE,4.1e-05,24,44,24,UNREL
COL4A6,3_25,3_40,1,deletion,no,can,0,1,FALSE,4.4e-07,33,44,33,UNREL
COL4A6,3_26,3_34,3,deletion,no,can,0,1,FALSE,0.00078,13,13,24,UNREL
COL4A6,3_26,3_40,1,deletion,no,can,0,1,FALSE,0.00065,13,13,33,UNREL
COL4A6,3_27,3_34,3,deletion,no,can,0,1,FALSE,1.3e-06,24,48,24,UNREL
COL4A6,3_27,3_40,1,deletion,no,can,0,1,FALSE,6e-07,33,48,33,UNREL
COL4A6,3_28,3_40,1,deletion,no,can,0,1,FALSE,1e-04,33,42,33,UNREL
COL4A6,3_29,3_34,3,deletion,no,can,0,1,FALSE,2.8e-05,24,60,24,UNREL
COL4A6,3_29,3_40,1,deletion,no,can,0,1,FALSE,4.2e-06,29,60,33,UNREL
COL4A6,3_3,3_34,3,deletion,no,can,0,1,FALSE,1e-04,24,39,24,UNREL
COL4A6,3_3,3_40,1,deletion,no,can,0,1,FALSE,3.5e-05,32,39,33,UNREL
COL4A6,3_30,3_34,3,deletion,no,can,0,1,FALSE,6.2e-05,18,22,24,UNREL
COL4A6,3_30,3_40,1,deletion,no,can,0,1,FALSE,5.7e-06,22,22,33,UNREL
COL4A6,3_31,3_40,1,deletion,no,can,0,1,FALSE,0.00014,25,25,33,UNREL
COL4A6,3_32,3_34,3,deletion,no,can,0,1,FALSE,8.7e-05,24,36,24,UNREL
COL4A6,3_32,3_40,1,deletion,no,can,0,1,FALSE,1.7e-07,27,36,33,UNREL
COL4A6,3_33,3_34,3,deletion,anc,can,0,1,FALSE,3.7e-05,24,36,24,REL
COL4A6,3_33,3_40,1,deletion,no,can,0,1,FALSE,5.2e-08,30,36,33,UNREL
COL4A6,3_34,3_35,3,deletion,can,anc,1,0,FALSE,8.7e-06,23,24,42,REL
COL4A6,3_34,3_36,3,deletion,can,no,1,0,FALSE,9.3e-05,21,24,39,UNREL
COL4A6,3_34,3_39,3,deletion,can,no,1,0,FALSE,7e-04,15,24,15,UNREL
COL4A6,3_34,3_4,3,deletion,can,no,1,0,FALSE,0.00075,12,24,12,UNREL
COL4A6,3_34,3_40,3,deletion,can,no,1,0,FALSE,0.00045,24,24,33,UNREL
COL4A6,3_34,3_40,1,deletion,no,can,0,1,FALSE,0.00045,24,24,33,UNREL
COL4A6,3_34,3_41,3,deletion,can,no,1,0,FALSE,5.1e-05,24,24,49,UNREL
COL4A6,3_34,3_42,3,deletion,can,no,1,0,FALSE,5.2e-06,24,24,39,UNREL
COL4A6,3_34,3_5,3,deletion,can,no,1,0,FALSE,0.00066,19,24,21,UNREL
COL4A6,3_34,3_9,3,deletion,can,no,1,0,FALSE,0.00046,17,24,22,UNREL
COL4A6,3_34,7_0,3,deletion,can,no,1,0,FALSE,0.00038,13,24,23,UNREL
COL4A6,3_35,3_40,1,deletion,no,can,0,1,FALSE,1.5e-05,33,42,33,UNREL
COL4A6,3_36,3_40,1,deletion,no,can,0,1,FALSE,1.3e-05,30,39,33,UNREL
COL4A6,3_37,3_40,1,deletion,no,can,0,1,FALSE,2.6e-06,24,27,33,UNREL
COL4A6,3_38,3_40,1,deletion,no,can,0,1,FALSE,0.00042,12,12,33,UNREL
COL4A6,3_4,3_40,1,deletion,no,can,0,1,FALSE,0.00042,12,12,33,UNREL
COL4A6,3_40,3_41,1,deletion,can,anc,1,0,FALSE,9.3e-07,33,33,49,REL
COL4A6,3_40,3_42,1,deletion,can,no,1,0,FALSE,2.6e-08,33,33,39,UNREL
COL4A6,3_40,3_5,1,deletion,can,no,1,0,FALSE,3.4e-06,19,33,21,UNREL
COL4A6,3_40,3_6,1,deletion,can,no,1,0,FALSE,5e-05,12,33,12,UNREL
COL4A6,3_40,3_9,1,deletion,can,no,1,0,FALSE,3.1e-05,20,33,22,UNREL
COL4A6,3_40,5_0,1,deletion,can,no,1,0,FALSE,0.00068,21,33,64,UNREL
COL5A1,11_0,11_5,8,deletion,no,can,0,3,FALSE,4.8e-07,15,15,31,UNREL
COL5A1,11_0,8_29,8,deletion,no,can,0,3,FALSE,9.3e-05,15,15,18,UNREL
COL5A1,11_0,8_29,9,deletion,no,can,0,1,FALSE,9.3e-05,15,15,18,UNREL
COL5A1,11_1,11_5,8,deletion,no,can,0,3,FALSE,3.9e-06,18,28,31,UNREL
COL5A1,11_1,8_29,8,deletion,no,can,0,3,FALSE,8.1e-05,15,28,18,UNREL
COL5A1,11_1,8_29,9,deletion,no,can,0,1,FALSE,8.1e-05,15,28,18,UNREL
COL5A1,11_10,11_5,8,deletion,no,can,0,3,FALSE,8e-04,12,12,31,UNREL
COL5A1,11_3,11_5,8,deletion,anc,can,0,3,FALSE,1.2e-07,27,63,31,REL
COL5A1,11_3,8_29,8,deletion,anc,can,0,3,FALSE,5.3e-05,18,63,18,REL
COL5A1,11_3,8_29,9,deletion,anc,can,0,1,FALSE,5.3e-05,18,63,18,REL
COL5A1,11_5,11_6,8,deletion,can,anc,3,0,FALSE,9.3e-08,31,31,51,REL
COL5A1,11_5,11_8,8,deletion,can,no,3,0,FALSE,5.2e-06,18,31,18,UNREL
COL5A1,11_5,11_9,8,deletion,can,no,3,0,FALSE,3e-07,31,31,46,UNREL
COL5A1,11_5,14_2,8,deletion,can,no,3,0,FALSE,3.1e-07,28,31,33,UNREL
COL5A1,11_5,8_10,8,deletion,can,no,3,0,FALSE,3.1e-06,18,31,18,UNREL
COL5A1,11_5,8_11,8,deletion,can,no,3,0,FALSE,0.00066,15,31,15,UNREL
COL5A1,11_5,8_12,8,deletion,can,no,3,0,FALSE,2.6e-06,18,31,18,UNREL
COL5A1,11_5,8_14,8,deletion,can,no,3,0,FALSE,4.8e-06,18,31,18,UNREL
COL5A1,11_5,8_15,8,deletion,can,no,3,0,FALSE,4.8e-05,18,31,18,UNREL
COL5A1,11_5,8_16,8,deletion,can,no,3,0,FALSE,0.00048,15,31,15,UNREL
COL5A1,11_5,8_19,8,deletion,can,no,3,0,FALSE,1.2e-06,28,31,36,UNREL
COL5A1,11_5,8_2,8,deletion,can,no,3,0,FALSE,0.00019,21,31,21,UNREL
COL5A1,11_5,8_20,8,deletion,can,no,3,0,FALSE,0.00013,18,31,18,UNREL
COL5A1,11_5,8_21,8,deletion,can,no,3,0,FALSE,4e-04,18,31,18,UNREL
COL5A1,11_5,8_22,8,deletion,can,no,3,0,FALSE,0.00011,15,31,15,UNREL
COL5A1,11_5,8_23,8,deletion,can,no,3,0,FALSE,3.9e-05,18,31,18,UNREL
COL5A1,11_5,8_24,8,deletion,can,no,3,0,FALSE,0.00034,15,31,15,UNREL
COL5A1,11_5,8_25,8,deletion,can,no,3,0,FALSE,3.7e-06,18,31,18,UNREL
COL5A1,11_5,8_26,8,deletion,can,no,3,0,FALSE,0.00017,18,31,18,UNREL
COL5A1,11_5,8_27,8,deletion,can,no,3,0,FALSE,4.4e-05,18,31,18,UNREL
COL5A1,11_5,8_28,8,deletion,can,no,3,0,FALSE,4e-08,30,31,36,UNREL
COL5A1,11_5,8_29,8,deletion,can,can,3,3,FALSE,3.4e-06,18,31,18,No
COL5A1,11_5,8_29,9,deletion,no,can,0,1,FALSE,3.4e-06,18,31,18,UNREL
COL5A1,11_5,8_31,8,deletion,can,no,3,0,FALSE,0.00046,18,31,18,UNREL
COL5A1,11_5,8_32,8,deletion,can,no,3,0,FALSE,3.3e-06,18,31,18,UNREL
COL5A1,11_5,8_33,8,deletion,can,no,3,0,FALSE,0.00036,24,31,24,UNREL
COL5A1,11_5,8_34,8,deletion,can,no,3,0,FALSE,0.00057,12,31,12,UNREL
COL5A1,11_5,8_35,8,deletion,can,no,3,0,FALSE,0.00015,18,31,18,UNREL
COL5A1,11_5,8_36,8,deletion,can,no,3,0,FALSE,1.5e-07,30,31,36,UNREL
COL5A1,11_5,8_37,8,deletion,can,no,3,0,FALSE,7.2e-05,18,31,18,UNREL
COL5A1,11_5,8_38,8,deletion,can,no,3,0,FALSE,3.9e-09,31,31,36,UNREL
COL5A1,11_5,8_39,8,deletion,can,no,3,0,FALSE,2.9e-07,18,31,18,UNREL
COL5A1,11_5,8_4,8,deletion,can,no,3,0,FALSE,1.1e-05,21,31,25,UNREL
COL5A1,11_5,8_40,8,deletion,can,no,3,0,FALSE,0.00045,18,31,18,UNREL
COL5A1,11_5,8_41,8,deletion,can,no,3,0,FALSE,1.3e-05,18,31,18,UNREL
COL5A1,11_5,8_43,8,deletion,can,no,3,0,FALSE,9.2e-07,18,31,18,UNREL
COL5A1,11_5,8_44,8,deletion,can,no,3,0,FALSE,1.2e-05,18,31,18,UNREL
COL5A1,11_5,8_45,8,deletion,can,no,3,0,FALSE,6e-06,21,31,26,UNREL
COL5A1,11_5,8_47,8,deletion,can,no,3,0,FALSE,9.5e-06,18,31,18,UNREL
COL5A1,11_5,8_5,8,deletion,can,no,3,0,FALSE,5.4e-05,19,31,19,UNREL
COL5A1,11_5,8_6,8,deletion,can,no,3,0,FALSE,0.00022,18,31,18,UNREL
COL5A1,11_5,8_7,8,deletion,can,no,3,0,FALSE,2.5e-06,18,31,18,UNREL
COL5A1,11_5,8_8,8,deletion,can,no,3,0,FALSE,0.00035,18,31,18,UNREL
COL5A1,11_6,8_29,8,deletion,anc,can,0,3,FALSE,2.7e-05,18,51,18,REL
COL5A1,11_6,8_29,9,deletion,no,can,0,1,FALSE,2.7e-05,18,51,18,No
COL5A1,11_8,8_29,8,deletion,no,can,0,3,FALSE,7.9e-05,9,18,18,UNREL
COL5A1,11_8,8_29,9,deletion,no,can,0,1,FALSE,7.9e-05,9,18,18,UNREL
COL5A1,11_9,8_29,8,deletion,no,can,0,3,FALSE,7.2e-05,18,46,18,UNREL
COL5A1,11_9,8_29,9,deletion,no,can,0,1,FALSE,7.2e-05,18,46,18,UNREL
